Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M11;15.573
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M10;20.377
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M09;20.381
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M08;29.550
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M07;23.769
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M06;19.841
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M05;19.900
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M04;19.275
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M03;13.858
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M02;10.757
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M01;9.239
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2026M04;15.989
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2026M03;15.053
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2026M02;11.089
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2026M01;8.759
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M12;12.056
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M11;14.151
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M10;17.723
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M09;17.096
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M08;26.333
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M07;21.250
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M06;16.928
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M05;16.203
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M04;16.173
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M03;12.116
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M02;9.838
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M01;8.576
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2026M04;2.536
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2026M03;1.279
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2026M02;1.060
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2026M01;1.026
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M12;1.055
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M11;1.422
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M10;2.654
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M09;3.285
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M08;3.217
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M07;2.519
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M06;2.913
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M05;3.697
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M04;3.102
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M03;1.742
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M02;919
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M01;663
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2026M04;30.523
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2026M03;27.361
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2026M02;19.912
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2026M01;16.370
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M12;20.996
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M11;26.930
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M10;33.274
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M09;34.251
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M08;46.988
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M07;39.685
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M06;33.415
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M05;33.691
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M04;32.122
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M03;23.627
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M02;17.984
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;;2025M01;15.118
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2026M04;26.402
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2026M03;25.659
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2026M02;18.263
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2026M01;14.866
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M12;19.474
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M11;24.313
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M10;29.428
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M09;29.387
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M08;42.048
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M07;36.172
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M06;29.211
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M05;28.543
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M04;27.898
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M03;21.080
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M02;16.500
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en España;2025M01;14.077
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;4.121
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;1.702
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;1.649
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;1.504
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;1.522
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;2.617
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;3.846
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;4.864
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;4.939
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;3.513
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;4.204
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;5.148
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;4.224
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;2.547
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;1.484
Total Nacional;07 Castilla y León;49 Zamora;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;1.041
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2026M04;225.560
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2026M03;191.752
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2026M02;143.274
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2026M01;127.365
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M12;173.407
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M11;186.114
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M10;246.456
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M09;242.663
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M08;230.418
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M07;207.407
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M06;228.260
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M05;240.303
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M04;227.672
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M03;167.514
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M02;151.109
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;;2025M01;123.899
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2026M04;189.285
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2026M03;164.008
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2026M02;117.818
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2026M01;103.945
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M12;147.649
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M11;157.364
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M10;203.055
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M09;201.664
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M08;192.609
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M07;169.560
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M06;191.522
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M05;198.683
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M04;190.220
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M03;138.546
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M02;128.202
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en España;2025M01;101.250
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2026M04;36.275
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2026M03;27.744
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2026M02;25.456
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2026M01;23.420
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M12;25.758
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M11;28.750
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M10;43.401
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M09;40.999
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M08;37.808
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M07;37.847
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M06;36.738
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M05;41.620
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M04;37.452
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M03;28.968
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M02;22.907
Total Nacional;08 Castilla - La Mancha;;Viajero;Total;Residentes en el Extranjero;2025M01;22.650
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2026M04;399.975
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2026M03;327.238
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2026M02;239.115
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2026M01;219.488
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M12;292.121
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M11;338.687
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M10;438.301
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M09;459.614
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M08;413.078
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M07;361.760
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M06;423.821
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M05;428.245
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M04;398.956
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M03;283.370
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M02;248.662
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;;2025M01;203.804
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2026M04;334.857
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2026M03;274.188
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2026M02;190.616
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2026M01;173.246
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M12;245.217
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M11;281.549
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M10;360.955
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M09;382.885
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M08;349.081
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M07;292.584
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M06;357.115
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M05;353.644
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M04;331.453
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M03;231.020
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M02;206.940
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en España;2025M01;163.133
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;65.118
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;53.050
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;48.498
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;46.242
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;46.904
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;57.138
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;77.346
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;76.729
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;63.997
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;69.175
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;66.706
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;74.601
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;67.503
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;52.349
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;41.722
Total Nacional;08 Castilla - La Mancha;;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;40.672
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2026M04;36.462
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2026M03;31.347
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2026M02;26.642
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2026M01;22.840
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M12;30.417
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M11;32.348
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M10;38.586
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M09;46.179
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M08;39.429
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M07;35.363
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M06;42.465
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M05;41.135
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M04;37.875
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M03;31.275
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M02;27.874
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;;2025M01;21.824
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2026M04;32.315
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2026M03;27.407
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2026M02;23.094
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2026M01;19.235
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M12;26.639
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M11;28.353
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M10;33.904
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M09;41.039
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M08;34.811
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M07;30.613
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M06;38.327
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M05;35.795
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M04;33.350
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M03;27.634
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M02;24.326
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en España;2025M01;18.273
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2026M04;4.147
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2026M03;3.940
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2026M02;3.548
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2026M01;3.605
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M12;3.777
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M11;3.995
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M10;4.682
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M09;5.140
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M08;4.618
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M07;4.750
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M06;4.138
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M05;5.340
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M04;4.524
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M03;3.642
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M02;3.548
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viajero;Total;Residentes en el Extranjero;2025M01;3.551
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2026M04;73.611
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2026M03;54.850
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2026M02;43.440
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2026M01;37.994
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M12;48.001
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M11;68.332
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M10;84.326
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M09;118.034
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M08;82.469
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M07;68.859
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M06;109.233
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M05;84.620
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M04;71.099
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M03;52.955
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M02;43.390
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;;2025M01;33.459
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2026M04;67.105
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2026M03;47.775
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2026M02;36.533
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2026M01;31.271
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M12;42.055
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M11;59.254
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M10;76.186
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M09;107.706
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M08;76.215
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M07;58.869
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M06;102.340
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M05;76.170
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M04;64.242
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M03;47.417
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M02;36.004
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en España;2025M01;27.908
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;6.505
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;7.075
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;6.907
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;6.723
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;5.945
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;9.078
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;8.140
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;10.328
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;6.254
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;9.990
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;6.893
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;8.450
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;6.857
Total Nacional;08 Castilla - La Mancha;02 Albacete;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;5.537
