Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;1.442.240
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;1.383.688
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;1.834.213
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;3.547.528
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;3.551.655
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;3.460.312
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;3.221.788
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;3.363.599
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;3.372.594
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;2.991.843
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;2.185.349
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;1.576.699
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;1.300.310
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2026M04;115.549
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2026M03;85.105
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2026M02;58.574
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2026M01;36.018
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M12;50.357
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M11;55.620
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M10;115.073
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M09;188.306
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M08;276.757
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M07;238.971
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M06;211.544
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M05;147.501
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M04;114.828
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M03;69.754
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M02;63.827
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M01;36.785
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2026M04;91.568
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2026M03;67.487
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2026M02;45.809
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2026M01;25.026
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M12;38.528
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M11;42.064
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M10;81.044
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M09;146.143
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M08;230.759
